songName,amp1mean,amp1std,amp1skew,amp1kurt,amp1dmean,amp1dstd,amp1dskew,amp1dkurt,amp10mean,amp10std,amp10skew,amp10kurt,amp10dmean,amp10dstd,amp10dskew,amp10dkurt,amp100mean,amp100std,amp100skew,amp100kurt,amp100dmean,amp100dstd,amp100dskew,amp100dkurt,amp1000mean,amp1000std,amp1000skew,amp1000kurt,amp1000dmean,amp1000dstd,amp1000dskew,amp1000dkurt,power1,power2,Power3,power4,power5,power6,power7,power8,power9,power10
Humko Humise Chura Lo copy.mp3,39.533814999999997,1410.7843600493677,0.11770606925190651,6.2769924721654373,0.012310020516700861,1072.4155981336946,0.026349010595748876,9.3539873318811573,39.533814999999393,427.64763836759329,-0.016867107829991783,6.8188463716700536,0.013555225920432158,682.90777769327974,-0.03346912541048188,7.1388304626995662,39.533815000000097,51.860876085244811,0.036994982182251897,7.0011071095925548,0.0043407234539090643,89.452446090533826,0.016220882584404926,7.1114353813710256,39.533815000000054,7.4194109456731816,-0.812922564385962,9.9575474534013004,0.075554257095158589,10.936113572628688,-0.083598000104036882,7.4857687274291154,0.082631200584236952,0.27588965579085345,0.21098166228059886,0.18191723699869475,0.06201036631668342,0.051399597947907591,0.041012613712873063,0.041943725044102938,0.030589952689797424,0.021623988634259649
Humko Humise Chura Lo.mp3,39.533814999999997,1410.7843600493677,0.11770606925190651,6.2769924721654373,0.012310020516700861,1072.4155981336946,0.026349010595748876,9.3539873318811573,39.533814999999393,427.64763836759329,-0.016867107829991783,6.8188463716700536,0.013555225920432158,682.90777769327974,-0.03346912541048188,7.1388304626995662,39.533815000000097,51.860876085244811,0.036994982182251897,7.0011071095925548,0.0043407234539090643,89.452446090533826,0.016220882584404926,7.1114353813710256,39.533815000000054,7.4194109456731816,-0.812922564385962,9.9575474534013004,0.075554257095158589,10.936113572628688,-0.083598000104036882,7.4857687274291154,0.082631200584236952,0.27588965579085345,0.21098166228059886,0.18191723699869475,0.06201036631668342,0.051399597947907591,0.041012613712873063,0.041943725044102938,0.030589952689797424,0.021623988634259649
KAASH KABHI AISA   copy.mp3,-0.34736166666666668,2271.4954487087884,-0.26108132583465482,5.0347758437921639,0.0020716701194501991,1910.5799848110305,-0.017276713168822636,7.5123209437418685,-0.34736166666666518,1215.858484871786,-0.1395629997186125,4.5896247098467606,0.019993666561108459,1854.3729118094116,0.08880207405355342,4.4206124707958088,-0.34736166666666674,176.42152572524267,0.059241937242843483,7.0436158061725775,-0.025567594599099741,296.73595021516832,-0.008951233199979711,6.5363386024556469,-0.34736166666666646,18.865640921461708,-0.47330871922034007,6.4044957277321304,0.0025242070116860849,31.875842569279634,0.20078355501354181,5.437305480108849,0.19378737099700646,0.18255637481256329,0.13101746849351426,0.11357637199291482,0.097731227736016238,0.079738850425218374,0.064726129793398576,0.069737835310670612,0.040892942687370662,0.026235427751304483
KAASH KABHI AISA  .mp3,-0.34736166666666668,2271.4954487087884,-0.26108132583465482,5.0347758437921639,0.0020716701194501991,1910.5799848110305,-0.017276713168822636,7.5123209437418685,-0.34736166666666518,1215.858484871786,-0.1395629997186125,4.5896247098467606,0.019993666561108459,1854.3729118094116,0.08880207405355342,4.4206124707958088,-0.34736166666666674,176.42152572524267,0.059241937242843483,7.0436158061725775,-0.025567594599099741,296.73595021516832,-0.008951233199979711,6.5363386024556469,-0.34736166666666646,18.865640921461708,-0.47330871922034007,6.4044957277321304,0.0025242070116860849,31.875842569279634,0.20078355501354181,5.437305480108849,0.19378737099700646,0.18255637481256329,0.13101746849351426,0.11357637199291482,0.097731227736016238,0.079738850425218374,0.064726129793398576,0.069737835310670612,0.040892942687370662,0.026235427751304483
mitwa revisited copy.mp3,0.66676333333333337,6317.7745111568292,-0.061564064930214171,5.0679162497553669,0.017593362655604426,2553.6521529813131,-0.17180895497822141,6.8373445198318121,0.66676333333333249,5545.7798782505806,-0.033303003955469784,5.7745361551977679,0.25637093951565809,4262.1672633037751,0.0055029915325536857,6.490496471134791,0.66676333333333626,2828.0603612870032,-0.032258997299298355,6.6769826338130347,-0.54976996166027681,5276.0378547032797,-0.046256610508600034,6.4522438354570122,0.66676333333333138,219.74911992255471,-0.28209585702954243,9.1063344041133885,0.82692153589315531,368.04188693169959,0.093816234849231003,8.6127064304982355,0.35646960657134624,0.17191014369026089,0.12159350706005864,0.082577951291748275,0.052497248201530282,0.059822942945611531,0.044473151529458257,0.053896198648384838,0.029249779434923143,0.027509470626667382
mitwa revisited.mp3,0.66676333333333337,6317.7745111568292,-0.061564064930214171,5.0679162497553669,0.017593362655604426,2553.6521529813131,-0.17180895497822141,6.8373445198318121,0.66676333333333249,5545.7798782505806,-0.033303003955469784,5.7745361551977679,0.25637093951565809,4262.1672633037751,0.0055029915325536857,6.490496471134791,0.66676333333333626,2828.0603612870032,-0.032258997299298355,6.6769826338130347,-0.54976996166027681,5276.0378547032797,-0.046256610508600034,6.4522438354570122,0.66676333333333138,219.74911992255471,-0.28209585702954243,9.1063344041133885,0.82692153589315531,368.04188693169959,0.093816234849231003,8.6127064304982355,0.35646960657134624,0.17191014369026089,0.12159350706005864,0.082577951291748275,0.052497248201530282,0.059822942945611531,0.044473151529458257,0.053896198648384838,0.029249779434923143,0.027509470626667382
Mohabbatein Love Themes copy.mp3,44.782964999999997,2182.7284180899674,0.0024886758150713742,5.135899001607533,0.0011066685111141852,1521.1979497665677,0.061711875015504555,8.8228212762368123,44.782965000000061,1290.5732764176257,-0.0066257292326711041,4.8583886122479853,0.0027483791396522737,2200.0822167704555,-0.10012702008287222,5.131744756592318,44.782964999999955,145.64545127017226,-0.18150202208211796,6.8080250642657756,0.007294549091515657,257.94857772766215,0.10149871472021506,6.9549716770324626,44.782964999999969,16.445068970984639,-0.21726662482503631,4.8638993977226308,0.066181969949916597,26.473894566619467,-0.20906432736626732,5.7387585231719802,0.23496450065087401,0.21312845228350918,0.12402397084544023,0.064225627036039068,0.067890692618195539,0.06172672366552117,0.076593099672430498,0.083649204317626513,0.040032355331093297,0.033765373579279459
Mohabbatein Love Themes.mp3,44.782964999999997,2182.7284180899674,0.0024886758150713742,5.135899001607533,0.0011066685111141852,1521.1979497665677,0.061711875015504555,8.8228212762368123,44.782965000000061,1290.5732764176257,-0.0066257292326711041,4.8583886122479853,0.0027483791396522737,2200.0822167704555,-0.10012702008287222,5.131744756592318,44.782964999999955,145.64545127017226,-0.18150202208211796,6.8080250642657756,0.007294549091515657,257.94857772766215,0.10149871472021506,6.9549716770324626,44.782964999999969,16.445068970984639,-0.21726662482503631,4.8638993977226308,0.066181969949916597,26.473894566619467,-0.20906432736626732,5.7387585231719802,0.23496450065087401,0.21312845228350918,0.12402397084544023,0.064225627036039068,0.067890692618195539,0.06172672366552117,0.076593099672430498,0.083649204317626513,0.040032355331093297,0.033765373579279459
na kajre copy.mp3,13.214151666666666,2721.0672562980553,0.140140808635911,4.9013814284746386,0.0014966691611152684,2517.3764944895297,-0.030868521393513357,6.4013500840607964,13.214151666666595,1209.117941520283,0.13523433016738906,5.9983529573141956,0.027513791896531959,1885.9019468534284,-0.32780951167506289,6.3977364418071323,13.214151666666675,161.72408488950242,-0.19029466045332386,7.7019818055944347,0.0037222870478413801,284.01142870244229,-0.094371923562426477,7.9917722693252848,13.214151666666663,17.509689574499326,-0.01376120119765779,4.3612069758416423,-0.017395659432387245,29.141561940854096,-0.24067141845470716,4.2842926106881229,0.15177367470508948,0.18854905248574239,0.14306617413033174,0.10239398332284665,0.091220275102722737,0.097828653640386995,0.064539777499291004,0.066720764580909087,0.057453325765996245,0.036454318766663885
na kajre.mp3,13.214151666666666,2721.0672562980553,0.140140808635911,4.9013814284746386,0.0014966691611152684,2517.3764944895297,-0.030868521393513357,6.4013500840607964,13.214151666666595,1209.117941520283,0.13523433016738906,5.9983529573141956,0.027513791896531959,1885.9019468534284,-0.32780951167506289,6.3977364418071323,13.214151666666675,161.72408488950242,-0.19029466045332386,7.7019818055944347,0.0037222870478413801,284.01142870244229,-0.094371923562426477,7.9917722693252848,13.214151666666663,17.509689574499326,-0.01376120119765779,4.3612069758416423,-0.017395659432387245,29.141561940854096,-0.24067141845470716,4.2842926106881229,0.15177367470508948,0.18854905248574239,0.14306617413033174,0.10239398332284665,0.091220275102722737,0.097828653640386995,0.064539777499291004,0.066720764580909087,0.057453325765996245,0.036454318766663885
ncs copy.mp3,0.10782666666666667,8778.9525438906803,0.0074585270848250406,3.7279854830470263,-0.0067550112583520975,5063.9084604813252,-0.011416521859506937,4.4509360716985027,0.10782666666666586,6857.3404029926787,0.013064594270994694,4.9783288788679165,-0.01356022600376804,6918.3367721082113,0.066092396497529932,4.9293212258806225,0.1078266666666733,2713.0233199910062,0.032642855404299537,6.0975378406389176,-0.017994665777632351,5104.8196981718311,0.014470868855435852,6.291027580261261,0.10782666666666825,220.29142488015728,-0.20083674674238713,6.6176415509093065,-0.053834724540900207,371.28747941024392,-0.20262265793339593,7.2055960189232886,0.30122658952836173,0.17609992215332182,0.11307093229733686,0.086211757573141035,0.072675342365796217,0.06427184393623786,0.052665845766146906,0.04908266745349104,0.043968564749638527,0.040726534176535809
